SID,LON,LAT,NAME,SUPERMARKET
2072.000000000000000,-1.553010000000000,55.127000000000000,Blyth,Asda
2073.000000000000000,-1.587460000000000,55.081040000000000,Cramlington,Asda
2074.000000000000000,-2.135230000000000,57.064140000000000,Portlethen,Asda
2075.000000000000000,-1.618400000000000,55.013080000000000,Gosforth,Asda
2076.000000000000000,-1.675130000000000,54.960220000000000,Gateshead,Asda
2077.000000000000000,-1.533850000000000,55.021780000000000,Benton,Asda
2078.000000000000000,-1.574500000000000,54.979259999999900,Byker Living,Asda
2079.000000000000000,-2.120580000000000,57.124350000000000,Bridge of Dee,Asda
2080.000000000000000,-2.079670000000000,57.148650000000000,Aberdeen Beach,Asda
2081.000000000000000,-1.696130000000000,54.868609999999900,Stanley,Asda
2082.000000000000000,-1.423090000000000,55.000630000000000,South Shields,Asda
2083.000000000000000,-2.172160000000000,57.204250000000000,Dyce,Asda
2084.000000000000000,-2.120800000000000,57.191730000000000,Middleton Park,Asda
2085.000000000000000,-1.458210000000000,54.946869999999900,Boldon,Asda
2086.000000000000000,-1.530600000000000,54.897739999999900,Washington,Asda
2087.000000000000000,-1.586820000000000,54.804769999999900,Durham (Living),Asda
2088.000000000000000,-1.371800000000000,54.880839999999900,Sunderland,Asda
2089.000000000000000,-1.331990000000000,54.836709999999900,Seaham,Asda
2090.000000000000000,-2.799330000000000,57.445210000000000,Huntly,Asda
2091.000000000000000,-1.591860000000000,54.700229999999900,Spennymoor,Asda
2092.000000000000000,-1.671330000000000,54.658029999999900,Bishop Auckland,Asda
2093.000000000000000,-1.331370000000000,54.760770000000000,Peterlee,Asda
2094.000000000000000,-2.731680000000000,54.309519999999900,Kendal,Asda
2095.000000000000000,-1.208770000000000,54.688450000000000,Hartlepool,Asda
2096.000000000000000,-1.523830000000000,54.545389999999900,Darlington,Asda
2097.000000000000000,-3.306700000000000,57.640520000000000,Elgin,Asda
2098.000000000000000,-1.291610000000000,54.607979999999900,Billingham,Asda
2099.000000000000000,-1.841300000000000,57.507199999999900,Peterhead,Asda
2100.000000000000000,-1.282160000000000,54.573860000000000,Stockton,Asda
2101.000000000000000,-1.288970000000000,54.537950000000000,Thornaby,Asda
2102.000000000000000,-1.175240000000000,54.582169999999900,Middlesbrough,Asda
2103.000000000000000,-3.234890000000000,54.122039999999900,Barrow,Asda
2104.000000000000000,-2.821950000000000,54.056359999999900,Lancaster,Asda
2105.000000000000000,-5.711320000000000,54.592039999999900,Newtownards Northern Ireland,Asda
